time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int,ts
20200724:1030,176.5,123.35,0.0,30.45,28.4,3.79,0.0,2020-07-24 10:30:00+00:00
20200724:1130,50.8,78.15,0.0,16.98,28.73,3.1,0.0,2020-07-24 11:30:00+00:00
20200724:1230,4.25,12.75,0.0,3.81,28.06,2.34,0.0,2020-07-24 12:30:00+00:00
20200724:1330,0.0,0.0,0.0,0.0,27.36,2.0,0.0,2020-07-24 13:30:00+00:00
20200724:1430,0.0,0.0,0.0,0.0,26.89,1.72,0.0,2020-07-24 14:30:00+00:00
20200724:1530,0.0,0.0,0.0,0.0,26.56,1.79,0.0,2020-07-24 15:30:00+00:00
20200724:1630,0.0,0.0,0.0,0.0,26.38,1.66,0.0,2020-07-24 16:30:00+00:00
20200724:1730,0.0,0.0,0.0,0.0,26.26,1.38,0.0,2020-07-24 17:30:00+00:00
20200724:1830,0.0,0.0,0.0,0.0,25.94,1.38,0.0,2020-07-24 18:30:00+00:00
20200724:1930,0.0,0.0,0.0,0.0,26.07,1.17,0.0,2020-07-24 19:30:00+00:00
20200724:2030,0.0,0.0,0.0,0.0,25.79,1.38,0.0,2020-07-24 20:30:00+00:00
20200724:2130,0.0,0.0,0.0,0.0,25.65,1.38,0.0,2020-07-24 21:30:00+00:00
20200724:2230,0.0,0.0,0.0,0.0,25.4,1.45,0.0,2020-07-24 22:30:00+00:00
20200724:2330,0.0,0.0,0.0,-1.49,25.29,1.59,0.0,2020-07-24 23:30:00+00:00
20200725:0030,49.85,56.2,0.0,11.43,25.28,1.45,0.0,2020-07-25 00:30:00+00:00
20200725:0130,196.35,100.45,0.0,24.81,26.21,1.72,0.0,2020-07-25 01:30:00+00:00
20200725:0230,331.5,147.2,0.0,38.42,27.65,2.0,0.0,2020-07-25 02:30:00+00:00
20200725:0330,488.9,163.65,0.0,52.16,28.92,2.0,0.0,2020-07-25 03:30:00+00:00
20200725:0430,526.7,183.15,0.0,65.96,30.16,2.21,0.0,2020-07-25 04:30:00+00:00
20200725:0530,558.35,226.25,0.0,79.6,31.0,2.55,0.0,2020-07-25 05:30:00+00:00
20200725:0630,499.45,183.2,0.0,84.73,31.68,2.76,0.0,2020-07-25 06:30:00+00:00
20200725:0730,398.9,229.55,0.0,71.64,31.91,2.14,0.0,2020-07-25 07:30:00+00:00
20200725:0830,510.0,147.25,0.0,57.85,32.01,2.41,0.0,2020-07-25 08:30:00+00:00
20200725:0930,291.8,179.55,0.0,44.07,32.08,2.55,0.0,2020-07-25 09:30:00+00:00
20200725:1030,223.75,109.35,0.0,30.4,31.84,2.21,0.0,2020-07-25 10:30:00+00:00
20200725:1130,84.85,68.6,0.0,16.92,31.26,2.21,0.0,2020-07-25 11:30:00+00:00
20200725:1230,6.2,16.89,0.0,3.73,30.41,2.07,0.0,2020-07-25 12:30:00+00:00
20200725:1330,0.0,0.0,0.0,0.0,29.53,1.79,0.0,2020-07-25 13:30:00+00:00
20200725:1430,0.0,0.0,0.0,0.0,28.82,1.93,0.0,2020-07-25 14:30:00+00:00
20200725:1530,0.0,0.0,0.0,0.0,28.31,2.21,0.0,2020-07-25 15:30:00+00:00
20200725:1630,0.0,0.0,0.0,0.0,27.96,2.34,0.0,2020-07-25 16:30:00+00:00
20200725:1730,0.0,0.0,0.0,0.0,27.63,2.48,0.0,2020-07-25 17:30:00+00:00
20200725:1830,0.0,0.0,0.0,0.0,27.38,2.41,0.0,2020-07-25 18:30:00+00:00
20200725:1930,0.0,0.0,0.0,0.0,27.35,2.21,0.0,2020-07-25 19:30:00+00:00
20200725:2030,0.0,0.0,0.0,0.0,27.18,2.14,0.0,2020-07-25 20:30:00+00:00
20200725:2130,0.0,0.0,0.0,0.0,26.99,2.0,0.0,2020-07-25 21:30:00+00:00
20200725:2230,0.0,0.0,0.0,0.0,26.84,1.86,0.0,2020-07-25 22:30:00+00:00
20200725:2330,0.0,0.0,0.0,-1.59,26.65,1.72,0.0,2020-07-25 23:30:00+00:00
20200726:0030,47.95,53.0,0.0,11.36,26.62,1.52,0.0,2020-07-26 00:30:00+00:00
20200726:0130,192.95,101.8,0.0,24.74,27.77,1.59,0.0,2020-07-26 01:30:00+00:00
20200726:0230,344.35,149.2,0.0,38.36,29.2,2.48,0.0,2020-07-26 02:30:00+00:00
20200726:0330,453.65,198.3,0.0,52.11,30.32,1.93,0.0,2020-07-26 03:30:00+00:00
20200726:0430,561.2,198.5,0.0,65.91,31.29,1.45,0.0,2020-07-26 04:30:00+00:00
20200726:0530,625.95,209.85,0.0,79.52,32.08,1.17,0.0,2020-07-26 05:30:00+00:00
20200726:0630,497.75,244.3,0.0,84.59,32.7,1.31,0.0,2020-07-26 06:30:00+00:00
20200726:0730,312.2,293.6,0.0,71.59,33.72,1.17,0.0,2020-07-26 07:30:00+00:00
20200726:0830,365.95,203.2,0.0,57.81,33.86,1.1,0.0,2020-07-26 08:30:00+00:00
20200726:0930,236.65,183.65,0.0,44.03,33.85,1.45,0.0,2020-07-26 09:30:00+00:00
20200726:1030,84.65,136.4,0.0,30.34,31.32,1.86,0.0,2020-07-26 10:30:00+00:00
20200726:1130,34.8,81.85,0.0,16.85,30.43,2.0,0.0,2020-07-26 11:30:00+00:00
20200726:1230,1.45,15.23,0.0,3.65,30.07,1.72,0.0,2020-07-26 12:30:00+00:00
20200726:1330,0.0,0.0,0.0,0.0,29.38,1.72,0.0,2020-07-26 13:30:00+00:00
20200726:1430,0.0,0.0,0.0,0.0,28.95,1.66,0.0,2020-07-26 14:30:00+00:00
20200726:1530,0.0,0.0,0.0,0.0,28.64,1.52,0.0,2020-07-26 15:30:00+00:00
20200726:1630,0.0,0.0,0.0,0.0,28.4,1.79,0.0,2020-07-26 16:30:00+00:00
20200726:1730,0.0,0.0,0.0,0.0,28.19,2.07,0.0,2020-07-26 17:30:00+00:00
20200726:1830,0.0,0.0,0.0,0.0,28.08,2.07,0.0,2020-07-26 18:30:00+00:00
20200726:1930,0.0,0.0,0.0,0.0,28.26,2.14,0.0,2020-07-26 19:30:00+00:00
20200726:2030,0.0,0.0,0.0,0.0,28.11,1.93,0.0,2020-07-26 20:30:00+00:00
20200726:2130,0.0,0.0,0.0,0.0,27.94,1.93,0.0,2020-07-26 21:30:00+00:00
20200726:2230,0.0,0.0,0.0,0.0,27.89,1.93,0.0,2020-07-26 22:30:00+00:00
20200726:2330,0.0,0.0,0.0,-1.68,27.74,1.79,0.0,2020-07-26 23:30:00+00:00
20200727:0030,14.45,50.2,0.0,11.28,27.58,1.79,0.0,2020-07-27 00:30:00+00:00
20200727:0130,40.0,121.1,0.0,24.68,28.05,1.93,0.0,2020-07-27 01:30:00+00:00
20200727:0230,45.0,197.2,0.0,38.31,28.45,1.59,0.0,2020-07-27 02:30:00+00:00
20200727:0330,55.9,245.35,0.0,52.06,29.12,1.17,0.0,2020-07-27 03:30:00+00:00
20200727:0430,233.8,303.65,0.0,65.86,29.86,1.03,0.0,2020-07-27 04:30:00+00:00
20200727:0530,316.0,337.7,0.0,79.43,30.92,1.24,0.0,2020-07-27 05:30:00+00:00
20200727:0630,161.45,349.2,0.0,84.44,31.77,1.17,0.0,2020-07-27 06:30:00+00:00
20200727:0730,88.2,285.75,0.0,71.53,32.84,1.31,0.0,2020-07-27 07:30:00+00:00
20200727:0830,118.05,260.05,0.0,57.76,32.85,0.28,0.0,2020-07-27 08:30:00+00:00
20200727:0930,97.2,251.8,0.0,43.97,32.19,1.24,0.0,2020-07-27 09:30:00+00:00
20200727:1030,47.8,171.75,0.0,30.28,31.07,2.55,0.0,2020-07-27 10:30:00+00:00
20200727:1130,14.7,75.85,0.0,16.78,30.1,2.07,0.0,2020-07-27 11:30:00+00:00
20200727:1230,0.0,11.2,0.0,3.56,29.31,0.55,0.0,2020-07-27 12:30:00+00:00
20200727:1330,0.0,0.0,0.0,0.0,28.72,0.28,0.0,2020-07-27 13:30:00+00:00
20200727:1430,0.0,0.0,0.0,0.0,28.05,0.34,0.0,2020-07-27 14:30:00+00:00
20200727:1530,0.0,0.0,0.0,0.0,27.58,0.62,0.0,2020-07-27 15:30:00+00:00
20200727:1630,0.0,0.0,0.0,0.0,27.42,1.03,0.0,2020-07-27 16:30:00+00:00
20200727:1730,0.0,0.0,0.0,0.0,27.36,1.03,0.0,2020-07-27 17:30:00+00:00
20200727:1830,0.0,0.0,0.0,0.0,27.29,1.1,0.0,2020-07-27 18:30:00+00:00
20200727:1930,0.0,0.0,0.0,0.0,27.17,0.83,0.0,2020-07-27 19:30:00+00:00
20200727:2030,0.0,0.0,0.0,0.0,27.18,0.97,0.0,2020-07-27 20:30:00+00:00
20200727:2130,0.0,0.0,0.0,0.0,27.04,1.03,0.0,2020-07-27 21:30:00+00:00
20200727:2230,0.0,0.0,0.0,0.0,26.91,0.83,0.0,2020-07-27 22:30:00+00:00
20200727:2330,0.0,0.0,0.0,-1.78,26.94,0.9,0.0,2020-07-27 23:30:00+00:00
20200728:0030,6.15,33.45,0.0,11.2,26.87,1.52,0.0,2020-07-28 00:30:00+00:00
20200728:0130,24.65,117.85,0.0,24.61,27.11,1.79,0.0,2020-07-28 01:30:00+00:00
20200728:0230,148.45,196.45,0.0,38.25,27.8,2.0,0.0,2020-07-28 02:30:00+00:00
20200728:0330,300.6,214.8,0.0,52.01,29.19,2.07,0.0,2020-07-28 03:30:00+00:00
20200728:0430,157.45,269.75,0.0,65.81,30.54,2.69,0.0,2020-07-28 04:30:00+00:00
20200728:0530,123.95,296.15,0.0,79.35,30.1,2.76,0.0,2020-07-28 05:30:00+00:00
20200728:0630,276.3,268.9,0.0,84.28,30.01,2.9,0.0,2020-07-28 06:30:00+00:00
20200728:0730,197.0,310.15,0.0,71.47,30.89,2.9,0.0,2020-07-28 07:30:00+00:00
20200728:0830,33.35,173.4,0.0,57.71,29.6,3.45,0.0,2020-07-28 08:30:00+00:00
20200728:0930,58.45,238.2,0.0,43.92,29.2,1.45,0.0,2020-07-28 09:30:00+00:00
20200728:1030,19.55,127.0,0.0,30.22,29.91,2.55,0.0,2020-07-28 10:30:00+00:00
20200728:1130,9.45,58.1,0.0,16.7,28.62,2.07,0.0,2020-07-28 11:30:00+00:00
20200728:1230,1.5,12.07,0.0,3.47,28.37,1.66,0.0,2020-07-28 12:30:00+00:00
20200728:1330,0.0,0.0,0.0,0.0,27.97,2.0,0.0,2020-07-28 13:30:00+00:00
20200728:1430,0.0,0.0,0.0,0.0,27.76,2.07,0.0,2020-07-28 14:30:00+00:00
20200728:1530,0.0,0.0,0.0,0.0,27.68,2.07,0.0,2020-07-28 15:30:00+00:00
20200728:1630,0.0,0.0,0.0,0.0,27.26,1.93,0.0,2020-07-28 16:30:00+00:00
20200728:1730,0.0,0.0,0.0,0.0,27.06,2.28,0.0,2020-07-28 17:30:00+00:00
20200728:1830,0.0,0.0,0.0,0.0,27.06,2.62,0.0,2020-07-28 18:30:00+00:00
20200728:1930,0.0,0.0,0.0,0.0,26.46,1.17,0.0,2020-07-28 19:30:00+00:00
20200728:2030,0.0,0.0,0.0,0.0,26.14,1.59,0.0,2020-07-28 20:30:00+00:00
20200728:2130,0.0,0.0,0.0,0.0,25.96,1.72,0.0,2020-07-28 21:30:00+00:00
20200728:2230,0.0,0.0,0.0,0.0,25.89,1.59,0.0,2020-07-28 22:30:00+00:00
20200728:2330,0.0,0.0,0.0,-1.87,25.9,1.86,0.0,2020-07-28 23:30:00+00:00
20200729:0030,13.35,56.65,0.0,11.12,25.94,1.86,0.0,2020-07-29 00:30:00+00:00
20200729:0130,36.05,138.0,0.0,24.55,26.63,2.14,0.0,2020-07-29 01:30:00+00:00
20200729:0230,78.85,191.9,0.0,38.19,27.49,3.17,0.0,2020-07-29 02:30:00+00:00
20200729:0330,146.7,262.15,0.0,51.96,28.47,3.52,0.0,2020-07-29 03:30:00+00:00
20200729:0430,299.75,287.05,0.0,65.76,29.31,3.66,0.0,2020-07-29 04:30:00+00:00
20200729:0530,449.4,239.45,0.0,79.25,30.4,4.0,0.0,2020-07-29 05:30:00+00:00
20200729:0630,103.2,338.5,0.0,84.11,31.27,4.0,0.0,2020-07-29 06:30:00+00:00
20200729:0730,111.25,306.45,0.0,71.4,31.07,3.31,0.0,2020-07-29 07:30:00+00:00
20200729:0830,100.7,254.15,0.0,57.65,29.95,2.62,0.0,2020-07-29 08:30:00+00:00
20200729:0930,31.85,153.35,0.0,43.86,30.07,2.97,0.0,2020-07-29 09:30:00+00:00
20200729:1030,57.9,137.55,0.0,30.15,29.69,2.76,0.0,2020-07-29 10:30:00+00:00
20200729:1130,25.65,81.15,0.0,16.62,29.77,2.83,0.0,2020-07-29 11:30:00+00:00
20200729:1230,1.2,16.79,0.0,3.37,29.46,2.69,0.0,2020-07-29 12:30:00+00:00
20200729:1330,0.0,0.0,0.0,0.0,28.93,2.62,0.0,2020-07-29 13:30:00+00:00
20200729:1430,0.0,0.0,0.0,0.0,28.59,2.9,0.0,2020-07-29 14:30:00+00:00
20200729:1530,0.0,0.0,0.0,0.0,28.33,2.97,0.0,2020-07-29 15:30:00+00:00
20200729:1630,0.0,0.0,0.0,0.0,28.02,2.76,0.0,2020-07-29 16:30:00+00:00
20200729:1730,0.0,0.0,0.0,0.0,27.73,2.62,0.0,2020-07-29 17:30:00+00:00
20200729:1830,0.0,0.0,0.0,0.0,27.38,2.55,0.0,2020-07-29 18:30:00+00:00
20200729:1930,0.0,0.0,0.0,0.0,27.36,2.69,0.0,2020-07-29 19:30:00+00:00
20200729:2030,0.0,0.0,0.0,0.0,27.28,2.48,0.0,2020-07-29 20:30:00+00:00
20200729:2130,0.0,0.0,0.0,0.0,27.06,2.14,0.0,2020-07-29 21:30:00+00:00
20200729:2230,0.0,0.0,0.0,0.0,26.84,1.79,0.0,2020-07-29 22:30:00+00:00
20200729:2330,0.0,0.0,0.0,-1.96,26.6,1.72,0.0,2020-07-29 23:30:00+00:00
20200730:0030,14.35,59.05,0.0,11.04,26.54,1.86,0.0,2020-07-30 00:30:00+00:00
20200730:0130,64.4,144.95,0.0,24.49,27.34,2.07,0.0,2020-07-30 01:30:00+00:00
20200730:0230,134.35,210.05,0.0,38.14,28.39,3.1,0.0,2020-07-30 02:30:00+00:00
20200730:0330,321.85,238.4,0.0,51.92,29.29,2.55,0.0,2020-07-30 03:30:00+00:00
20200730:0430,385.05,275.3,0.0,65.71,30.5,2.55,0.0,2020-07-30 04:30:00+00:00
20200730:0530,637.35,208.1,0.0,79.16,31.24,2.76,0.0,2020-07-30 05:30:00+00:00
20200730:0630,304.25,333.35,0.0,83.93,32.02,2.9,0.0,2020-07-30 06:30:00+00:00
20200730:0730,389.05,243.55,0.0,71.32,31.9,2.55,0.0,2020-07-30 07:30:00+00:00
20200730:0830,467.7,224.4,0.0,57.59,32.14,1.93,0.0,2020-07-30 08:30:00+00:00
20200730:0930,325.7,166.9,0.0,43.79,32.53,2.07,0.0,2020-07-30 09:30:00+00:00
20200730:1030,130.8,139.65,0.0,30.07,32.07,1.86,0.0,2020-07-30 10:30:00+00:00
20200730:1130,35.2,80.5,0.0,16.53,30.21,2.55,0.0,2020-07-30 11:30:00+00:00
20200730:1230,4.05,14.01,0.0,3.27,29.6,1.86,0.0,2020-07-30 12:30:00+00:00
20200730:1330,0.0,0.0,0.0,0.0,28.72,2.0,0.0,2020-07-30 13:30:00+00:00
20200730:1430,0.0,0.0,0.0,0.0,28.27,2.21,0.0,2020-07-30 14:30:00+00:00
20200730:1530,0.0,0.0,0.0,0.0,27.97,2.0,0.0,2020-07-30 15:30:00+00:00
20200730:1630,0.0,0.0,0.0,0.0,27.66,1.52,0.0,2020-07-30 16:30:00+00:00
20200730:1730,0.0,0.0,0.0,0.0,27.4,1.59,0.0,2020-07-30 17:30:00+00:00
20200730:1830,0.0,0.0,0.0,0.0,27.26,1.38,0.0,2020-07-30 18:30:00+00:00
20200730:1930,0.0,0.0,0.0,0.0,27.45,1.93,0.0,2020-07-30 19:30:00+00:00
20200730:2030,0.0,0.0,0.0,0.0,27.33,2.07,0.0,2020-07-30 20:30:00+00:00
20200730:2130,0.0,0.0,0.0,0.0,27.15,1.86,0.0,2020-07-30 21:30:00+00:00
20200730:2230,0.0,0.0,0.0,0.0,27.01,1.66,0.0,2020-07-30 22:30:00+00:00
20200730:2330,0.0,0.0,0.0,-2.06,26.93,1.52,0.0,2020-07-30 23:30:00+00:00
20200731:0030,19.2,55.35,0.0,10.97,26.8,1.38,0.0,2020-07-31 00:30:00+00:00
20200731:0130,138.9,127.4,0.0,24.42,27.66,1.79,0.0,2020-07-31 01:30:00+00:00
20200731:0230,323.7,138.8,0.0,38.09,28.97,2.76,0.0,2020-07-31 02:30:00+00:00
20200731:0330,415.65,188.35,0.0,51.87,29.99,2.41,0.0,2020-07-31 03:30:00+00:00
20200731:0430,484.45,165.25,0.0,65.65,31.02,1.66,0.0,2020-07-31 04:30:00+00:00
20200731:0530,488.85,191.8,0.0,79.06,31.77,1.45,0.0,2020-07-31 05:30:00+00:00
20200731:0630,596.65,201.75,0.0,83.74,32.4,1.86,0.0,2020-07-31 06:30:00+00:00
20200731:0730,614.1,198.85,0.0,71.24,32.85,2.07,0.0,2020-07-31 07:30:00+00:00
20200731:0830,359.3,180.6,0.0,57.52,33.5,1.79,0.0,2020-07-31 08:30:00+00:00
20200731:0930,298.7,165.5,0.0,43.72,33.05,1.17,0.0,2020-07-31 09:30:00+00:00
20200731:1030,165.3,104.45,0.0,30.0,32.08,2.55,0.0,2020-07-31 10:30:00+00:00
20200731:1130,38.75,72.7,0.0,16.44,30.34,2.83,0.0,2020-07-31 11:30:00+00:00
20200731:1230,3.25,13.38,0.0,3.17,29.69,1.93,0.0,2020-07-31 12:30:00+00:00
20200731:1330,0.0,0.0,0.0,0.0,29.21,1.38,0.0,2020-07-31 13:30:00+00:00
20200731:1430,0.0,0.0,0.0,0.0,28.74,1.72,0.0,2020-07-31 14:30:00+00:00
20200731:1530,0.0,0.0,0.0,0.0,28.44,1.79,0.0,2020-07-31 15:30:00+00:00
20200731:1630,0.0,0.0,0.0,0.0,28.17,1.72,0.0,2020-07-31 16:30:00+00:00
20200731:1730,0.0,0.0,0.0,0.0,27.91,1.79,0.0,2020-07-31 17:30:00+00:00
20200731:1830,0.0,0.0,0.0,0.0,27.64,1.72,0.0,2020-07-31 18:30:00+00:00
20200731:1930,0.0,0.0,0.0,0.0,27.88,1.52,0.0,2020-07-31 19:30:00+00:00
20200731:2030,0.0,0.0,0.0,0.0,27.71,1.59,0.0,2020-07-31 20:30:00+00:00
20200731:2130,0.0,0.0,0.0,0.0,27.49,1.45,0.0,2020-07-31 21:30:00+00:00
20200731:2230,0.0,0.0,0.0,0.0,27.4,1.24,0.0,2020-07-31 22:30:00+00:00
20200731:2330,0.0,0.0,0.0,-2.15,27.1,1.24,0.0,2020-07-31 23:30:00+00:00
20200801:0030,24.05,55.95,0.0,10.89,26.92,1.1,0.0,2020-08-01 00:30:00+00:00
20200801:0130,155.45,103.1,0.0,24.36,27.86,0.97,0.0,2020-08-01 01:30:00+00:00
20200801:0230,304.7,127.45,0.0,38.03,29.02,0.97,0.0,2020-08-01 02:30:00+00:00
20200801:0330,396.75,185.45,0.0,51.82,30.2,0.9,0.0,2020-08-01 03:30:00+00:00
20200801:0430,468.15,191.25,0.0,65.6,31.26,1.45,0.0,2020-08-01 04:30:00+00:00
20200801:0530,615.45,182.45,0.0,78.95,31.95,2.0,0.0,2020-08-01 05:30:00+00:00
20200801:0630,647.25,191.6,0.0,83.54,32.59,2.0,0.0,2020-08-01 06:30:00+00:00
20200801:0730,519.05,204.4,0.0,71.15,33.23,1.17,0.0,2020-08-01 07:30:00+00:00
20200801:0830,266.9,197.25,0.0,57.45,33.37,0.97,0.0,2020-08-01 08:30:00+00:00
20200801:0930,158.75,192.8,0.0,43.64,32.58,0.76,0.0,2020-08-01 09:30:00+00:00
20200801:1030,114.1,121.75,0.0,29.91,30.97,0.62,0.0,2020-08-01 10:30:00+00:00
20200801:1130,51.25,64.5,0.0,16.35,30.51,2.07,0.0,2020-08-01 11:30:00+00:00
20200801:1230,4.5,12.59,0.0,3.06,29.86,2.0,0.0,2020-08-01 12:30:00+00:00
20200801:1330,0.0,0.0,0.0,0.0,29.24,1.79,0.0,2020-08-01 13:30:00+00:00
20200801:1430,0.0,0.0,0.0,0.0,28.81,1.79,0.0,2020-08-01 14:30:00+00:00
20200801:1530,0.0,0.0,0.0,0.0,28.61,1.72,0.0,2020-08-01 15:30:00+00:00
20200801:1630,0.0,0.0,0.0,0.0,28.45,1.66,0.0,2020-08-01 16:30:00+00:00
20200801:1730,0.0,0.0,0.0,0.0,28.26,1.66,0.0,2020-08-01 17:30:00+00:00
20200801:1830,0.0,0.0,0.0,0.0,28.11,1.52,0.0,2020-08-01 18:30:00+00:00
20200801:1930,0.0,0.0,0.0,0.0,28.22,1.72,0.0,2020-08-01 19:30:00+00:00
20200801:2030,0.0,0.0,0.0,0.0,27.95,1.66,0.0,2020-08-01 20:30:00+00:00
20200801:2130,0.0,0.0,0.0,0.0,27.65,1.38,0.0,2020-08-01 21:30:00+00:00
20200801:2230,0.0,0.0,0.0,0.0,27.37,1.24,0.0,2020-08-01 22:30:00+00:00
20200801:2330,0.0,0.0,0.0,-2.25,27.02,1.03,0.0,2020-08-01 23:30:00+00:00
20200802:0030,33.7,58.05,0.0,10.81,27.01,0.69,0.0,2020-08-02 00:30:00+00:00
20200802:0130,132.5,108.8,0.0,24.29,28.29,0.48,0.0,2020-08-02 01:30:00+00:00
20200802:0230,363.7,132.6,0.0,37.98,29.26,0.34,0.0,2020-08-02 02:30:00+00:00
20200802:0330,499.05,165.8,0.0,51.77,30.61,0.07,0.0,2020-08-02 03:30:00+00:00
20200802:0430,568.4,194.1,0.0,65.54,31.83,0.41,0.0,2020-08-02 04:30:00+00:00
20200802:0530,590.05,224.0,0.0,78.84,32.61,0.55,0.0,2020-08-02 05:30:00+00:00
20200802:0630,441.65,326.15,0.0,83.34,33.2,0.21,0.0,2020-08-02 06:30:00+00:00
20200802:0730,334.5,309.3,0.0,71.06,33.42,0.76,0.0,2020-08-02 07:30:00+00:00
20200802:0830,246.45,269.8,0.0,57.37,33.47,0.97,0.0,2020-08-02 08:30:00+00:00
20200802:0930,109.3,218.2,0.0,43.56,33.39,1.03,0.0,2020-08-02 09:30:00+00:00
20200802:1030,76.55,141.5,0.0,29.83,32.69,0.55,0.0,2020-08-02 10:30:00+00:00
20200802:1130,9.75,70.9,0.0,16.25,31.35,1.66,0.0,2020-08-02 11:30:00+00:00
20200802:1230,0.2,12.36,0.0,2.95,30.16,1.31,0.0,2020-08-02 12:30:00+00:00
20200802:1330,0.0,0.0,0.0,0.0,29.56,1.66,0.0,2020-08-02 13:30:00+00:00
20200802:1430,0.0,0.0,0.0,0.0,29.06,1.79,0.0,2020-08-02 14:30:00+00:00
20200802:1530,0.0,0.0,0.0,0.0,28.83,1.72,0.0,2020-08-02 15:30:00+00:00
20200802:1630,0.0,0.0,0.0,0.0,28.59,1.59,0.0,2020-08-02 16:30:00+00:00
20200802:1730,0.0,0.0,0.0,0.0,28.41,1.31,0.0,2020-08-02 17:30:00+00:00
20200802:1830,0.0,0.0,0.0,0.0,28.17,1.38,0.0,2020-08-02 18:30:00+00:00
20200802:1930,0.0,0.0,0.0,0.0,28.29,1.59,0.0,2020-08-02 19:30:00+00:00
20200802:2030,0.0,0.0,0.0,0.0,28.23,1.72,0.0,2020-08-02 20:30:00+00:00
20200802:2130,0.0,0.0,0.0,0.0,28.14,1.38,0.0,2020-08-02 21:30:00+00:00
20200802:2230,0.0,0.0,0.0,0.0,27.93,1.03,0.0,2020-08-02 22:30:00+00:00
20200802:2330,0.0,0.0,0.0,-2.34,27.63,0.76,0.0,2020-08-02 23:30:00+00:00
20200803:0030,4.6,28.9,0.0,10.74,26.99,1.24,0.0,2020-08-03 00:30:00+00:00
20200803:0130,9.45,86.95,0.0,24.23,26.68,0.97,0.0,2020-08-03 01:30:00+00:00
20200803:0230,87.1,218.55,0.0,37.92,27.18,1.72,0.0,2020-08-03 02:30:00+00:00
20200803:0330,136.55,284.85,0.0,51.72,28.72,1.45,0.0,2020-08-03 03:30:00+00:00
20200803:0430,174.7,304.95,0.0,65.48,30.11,0.97,0.0,2020-08-03 04:30:00+00:00
20200803:0530,264.95,234.6,0.0,78.73,30.99,0.83,0.0,2020-08-03 05:30:00+00:00
20200803:0630,629.1,180.75,0.0,83.12,31.39,0.69,0.0,2020-08-03 06:30:00+00:00
20200803:0730,462.25,256.85,0.0,70.96,33.5,0.97,0.0,2020-08-03 07:30:00+00:00
20200803:0830,378.7,175.6,0.0,57.28,33.71,1.24,0.0,2020-08-03 08:30:00+00:00
20200803:0930,336.0,141.3,0.0,43.48,33.45,1.31,0.0,2020-08-03 09:30:00+00:00
20200803:1030,147.5,126.25,0.0,29.74,33.47,0.83,0.0,2020-08-03 10:30:00+00:00
20200803:1130,46.65,79.2,0.0,16.15,33.0,0.69,0.0,2020-08-03 11:30:00+00:00
20200803:1230,2.35,15.18,0.0,2.83,31.8,1.93,0.0,2020-08-03 12:30:00+00:00
20200803:1330,0.0,0.0,0.0,0.0,30.49,2.55,0.0,2020-08-03 13:30:00+00:00
20200803:1430,0.0,0.0,0.0,0.0,29.63,2.55,0.0,2020-08-03 14:30:00+00:00
20200803:1530,0.0,0.0,0.0,0.0,29.18,2.28,0.0,2020-08-03 15:30:00+00:00
20200803:1630,0.0,0.0,0.0,0.0,28.72,1.93,0.0,2020-08-03 16:30:00+00:00
20200803:1730,0.0,0.0,0.0,0.0,28.45,1.45,0.0,2020-08-03 17:30:00+00:00
20200803:1830,0.0,0.0,0.0,0.0,28.03,0.97,0.0,2020-08-03 18:30:00+00:00
20200803:1930,0.0,0.0,0.0,0.0,27.01,1.24,0.0,2020-08-03 19:30:00+00:00
20200803:2030,0.0,0.0,0.0,0.0,27.06,0.97,0.0,2020-08-03 20:30:00+00:00
20200803:2130,0.0,0.0,0.0,0.0,26.98,0.83,0.0,2020-08-03 21:30:00+00:00
20200803:2230,0.0,0.0,0.0,0.0,26.94,0.76,0.0,2020-08-03 22:30:00+00:00
20200803:2330,0.0,0.0,0.0,-2.44,26.92,0.83,0.0,2020-08-03 23:30:00+00:00
20200804:0030,0.2,18.95,0.0,10.66,26.89,0.76,0.0,2020-08-04 00:30:00+00:00
20200804:0130,0.05,42.0,0.0,24.17,27.13,0.9,0.0,2020-08-04 01:30:00+00:00
20200804:0230,0.0,62.6,0.0,37.87,27.41,1.17,0.0,2020-08-04 02:30:00+00:00
20200804:0330,3.35,168.95,0.0,51.67,27.74,1.24,0.0,2020-08-04 03:30:00+00:00
20200804:0430,13.5,243.45,0.0,65.42,28.54,1.38,0.0,2020-08-04 04:30:00+00:00
20200804:0530,12.75,247.45,0.0,78.61,29.25,1.79,0.0,2020-08-04 05:30:00+00:00
20200804:0630,0.0,85.8,0.0,82.9,29.81,1.66,0.0,2020-08-04 06:30:00+00:00
20200804:0730,0.2,49.0,0.0,70.85,28.73,3.03,0.0,2020-08-04 07:30:00+00:00
20200804:0830,0.0,25.5,0.0,57.19,28.24,3.52,0.0,2020-08-04 08:30:00+00:00
20200804:0930,3.85,46.5,0.0,43.39,27.9,4.41,0.0,2020-08-04 09:30:00+00:00
20200804:1030,1.95,77.15,0.0,29.64,27.63,4.48,0.0,2020-08-04 10:30:00+00:00
20200804:1130,0.0,47.7,0.0,16.04,27.66,4.34,0.0,2020-08-04 11:30:00+00:00
20200804:1230,0.15,7.18,0.0,2.71,27.52,4.14,0.0,2020-08-04 12:30:00+00:00
20200804:1330,0.0,0.0,0.0,0.0,27.21,3.93,0.0,2020-08-04 13:30:00+00:00
